nUnits,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1.000000,1.756701,2.634127,3.515523,4.433214,5.405014,6.343456,7.325956,8.326829,9.379476,10.316663,11.351570,12.331833,13.332400,14.292100,15.365300,16.351200,17.297900,18.348200,19.309400
2,1.000000,1.637578,2.375505,3.149712,3.872446,4.684451,5.536389,6.437833,7.395415,8.454280,9.360634,10.316992,11.325120,12.337369,13.296919,14.299460,15.315332,16.231200,17.325433,18.240200
3,1.000000,1.570530,2.169916,2.770928,3.233964,3.927666,4.605207,5.313640,6.063813,6.882471,7.630575,8.554018,9.420019,10.266269,11.213103,12.198581,13.149237,14.086567,15.038419,16.061923
4,0.991416,1.470874,2.174286,2.456780,2.940652,3.381772,3.933719,4.568802,5.084878,5.718727,6.335653,7.015973,7.798004,8.474536,9.191131,10.053763,10.782196,11.649940,12.481251,13.379671
5,0.984615,1.498387,2.042582,2.390649,2.587990,2.880079,3.483835,3.905105,4.261929,4.812757,5.286505,5.760841,6.362123,6.929187,7.535946,8.155727,8.802273,9.416511,10.151243,10.869686
6,0.933333,1.410156,1.925170,2.281062,2.371457,2.464084,2.867596,3.250000,3.567216,4.138007,4.386081,4.845205,5.369720,5.728777,6.086989,6.748313,7.202476,7.765890,8.342700,8.947782
7,1.000000,1.463768,1.955263,2.117647,2.308429,2.260388,2.631783,2.887013,3.159487,3.323785,3.693130,3.901712,4.347501,4.823378,5.168059,5.585944,5.893101,6.534359,6.871281,7.285587
8,0.888889,1.373134,1.963370,2.092593,1.963504,2.297539,2.371859,2.595122,2.584532,2.839161,2.974110,3.262774,3.599765,4.033732,4.257117,4.569558,5.060408,5.077514,5.660963,6.023388
9,1.000000,1.459459,1.706294,1.993377,2.033113,2.037037,2.143498,2.366667,2.282313,2.442105,2.568047,2.760563,2.945137,3.275330,3.432377,3.687943,3.779715,4.366771,4.417450,4.837020
10,-2.000000,1.250000,1.661017,1.932584,1.681818,1.986486,1.834783,2.052288,2.104575,2.246988,2.575758,2.608939,2.368984,2.497537,2.809129,2.940928,3.074689,3.316901,3.822715,4.059946
11,NaN,1.571429,1.925926,1.750000,1.818182,2.039474,2.000000,2.000000,2.060241,1.965116,1.925000,2.000000,2.218750,2.329897,2.310606,2.536364,2.424658,2.768212,2.928144,3.086420
12,NaN,1.333333,1.894737,1.718750,1.633333,2.000000,1.970588,2.131579,1.795455,2.000000,1.872340,1.739130,1.822222,2.074074,1.966102,2.195652,2.409091,2.408451,2.561404,2.236842
13,NaN,1.000000,1.700000,1.785714,1.500000,1.840000,1.611111,1.666667,1.739130,1.968750,1.703704,1.444444,1.727273,1.680000,1.454545,1.952381,1.852941,1.714286,2.054054,2.175000
14,NaN,1.000000,1.571429,0.714286,0.666667,2.000000,1.285714,0.900000,1.650000,1.454545,1.923077,1.454545,1.900000,1.142857,1.384615,1.473684,2.000000,1.578947,1.400000,1.470588
15,-Inf,NaN,1.000000,1.500000,2.250000,0.750000,0.500000,1.166667,1.714286,1.666667,1.285714,1.454545,1.333333,2.272727,0.500000,1.000000,1.714286,1.555556,1.533333,1.555556
16,NaN,NaN,1.600000,-Inf,2.000000,2.166667,1.000000,0.400000,1.666667,1.500000,1.857143,0.750000,0.000000,1.166667,1.666667,1.857143,2.166667,1.285714,2.333333,0.250000
17,NaN,NaN,-3.000000,-1.000000,1.000000,1.857143,-Inf,-0.500000,1.333333,2.000000,1.000000,0.000000,0.000000,0.333333,0.000000,-3.000000,1.250000,1.000000,0.333333,2.000000
18,NaN,-Inf,0.000000,NaN,-Inf,NaN,0.000000,-Inf,1.000000,-3.000000,-Inf,NaN,-5.000000,-Inf,-Inf,-Inf,1.000000,1.500000,-1.000000,0.000000
19,NaN,NaN,-Inf,NaN,1.000000,-Inf,-3.000000,NaN,NaN,0.500000,-Inf,-Inf,-3.000000,-Inf,-1.000000,-4.000000,-Inf,3.000000,-Inf,-Inf
20,-Inf,NaN,NaN,-Inf,NaN,NaN,0.000000,-Inf,NaN,2.000000,-Inf,-Inf,-1.000000,NaN,1.666667,-Inf,NaN,-Inf,NaN,1.333333
