nUnits,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.392700,0.731200,0.877900,0.947000,0.978500,0.993300,0.997800,0.998600,0.999300,0.999800,0.999800,0.999800,0.999900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,0.158500,0.351800,0.643400,0.762800,0.866300,0.920300,0.957700,0.976400,0.985800,0.991900,0.996300,0.997500,0.998400,0.999500,0.999600,0.999800,0.999900,1.000000,0.999900,1.000000
3,0.068900,0.222600,0.343700,0.439600,0.592400,0.678800,0.749000,0.827700,0.866600,0.898500,0.932800,0.946900,0.957100,0.971200,0.978400,0.986500,0.989700,0.992300,0.994300,0.996400
4,0.023300,0.103000,0.210000,0.236000,0.325200,0.430100,0.484300,0.549400,0.642100,0.672300,0.718600,0.776300,0.801500,0.840400,0.865900,0.883500,0.905400,0.922700,0.933400,0.947400
5,0.013000,0.062000,0.145600,0.132600,0.168200,0.253500,0.272200,0.319300,0.389800,0.413900,0.469800,0.537300,0.570800,0.603000,0.648200,0.687100,0.712600,0.747400,0.768300,0.792700
6,0.004500,0.025600,0.073500,0.082900,0.098800,0.123900,0.143500,0.179200,0.200100,0.226800,0.273000,0.292000,0.336200,0.368700,0.396600,0.444600,0.476600,0.506600,0.544500,0.572600
7,0.001500,0.013800,0.038000,0.045900,0.052200,0.072200,0.077400,0.077000,0.109100,0.115200,0.131000,0.157700,0.174100,0.194200,0.215400,0.236200,0.263800,0.292500,0.319300,0.337200
8,0.000900,0.006700,0.027300,0.021600,0.027400,0.044700,0.039800,0.041000,0.055600,0.057200,0.061800,0.082200,0.085200,0.091900,0.112400,0.122200,0.137400,0.143200,0.157800,0.175300
9,0.000100,0.003700,0.014300,0.015100,0.015100,0.021600,0.022300,0.024000,0.029400,0.028500,0.033800,0.035500,0.040100,0.045400,0.048800,0.056400,0.063100,0.063800,0.074500,0.085900
10,0.000200,0.002000,0.005900,0.008900,0.008800,0.014800,0.011500,0.015300,0.015300,0.016600,0.013200,0.017900,0.018700,0.020300,0.024100,0.023700,0.024100,0.028400,0.036100,0.036700
11,0.000000,0.000700,0.005400,0.004400,0.005500,0.007600,0.005500,0.007800,0.008300,0.008600,0.008000,0.010000,0.009600,0.009700,0.013200,0.011000,0.014600,0.015100,0.016700,0.016200
12,0.000000,0.000300,0.001900,0.003200,0.003000,0.004400,0.003400,0.003800,0.004400,0.004800,0.004700,0.004600,0.004500,0.005400,0.005900,0.004600,0.006600,0.007100,0.005700,0.007600
13,0.000000,0.000600,0.001000,0.001400,0.000600,0.002500,0.001800,0.002100,0.002300,0.003200,0.002700,0.001800,0.003300,0.002500,0.002200,0.004200,0.003400,0.004200,0.003700,0.004000
14,0.000000,0.000100,0.000700,0.000700,0.000300,0.001000,0.000700,0.001000,0.002000,0.001100,0.001300,0.001100,0.002000,0.001400,0.001300,0.001900,0.001700,0.001900,0.002000,0.001700
15,0.000000,0.000000,0.000200,0.000200,0.000400,0.000400,0.000200,0.000600,0.000700,0.000600,0.000700,0.001100,0.000600,0.001100,0.000600,0.000700,0.000700,0.000900,0.001500,0.000900
16,0.000000,0.000000,0.000500,0.000000,0.000200,0.000600,0.000500,0.000500,0.000300,0.000400,0.000700,0.000400,0.000400,0.000600,0.000600,0.000700,0.000600,0.000700,0.000600,0.000400
17,0.000000,0.000000,0.000100,0.000100,0.000100,0.000700,0.000000,0.000200,0.000300,0.000200,0.000200,0.000400,0.000200,0.000300,0.000100,0.000100,0.000400,0.000200,0.000300,0.000200
18,0.000000,0.000000,0.000100,0.000000,0.000000,0.000000,0.000100,0.000000,0.000100,0.000100,0.000000,0.000000,0.000100,0.000000,0.000000,0.000000,0.000500,0.000200,0.000100,0.000200
19,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000100,0.000000,0.000000,0.000200,0.000000,0.000000,0.000100,0.000000,0.000100,0.000100,0.000000,0.000100,0.000000,0.000000
20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,0.000100,0.000000,0.000000,0.000100,0.000000,0.000300,0.000000,0.000000,0.000000,0.000000,0.000300
